1201631,40034580,40016743,40100731,1202461,40016660,40132873,1206304,263967,1202609,40099611,1206319

40125610,1208096,1208095,1206842,40118800,1208319,280839,1208131,100014879,285406,1208083,1202454

40000335,1205121,40002097,299671,1206843,295813,267651,40050792,255611,271649,1208135,1205284

306175,1208470,1203031,40002964,100003862,286939,30002501,20005353,1205556,1208094,40007304,40051815

40112231,222783,1206308,40154107,1207173,263860,1205005,1205007,1201984,40114822,266830,40186106

40186106,40077757,266859,20005343,30002406,20003851,40007354,40090360,266655,263799,40029303,1203173

100285325,100134697,1203028,1202838,40114358,263976,307957,40019150,40090363,40057729,1208322,100968

40119072,266631,40120851,30008321,40000439,40006988,40002095,1206431,40130539,1203061,20005549,1208201

40137732,296765,1203599,1206295,266685,1202597,40000357,286734,40090364,40004942,209583,40103935

266692,1208942,100586906,1206623,40009315,1208457,1208318,40007353,306151,100183508,40025717,40132969

262972,1208101,40073393,40090362,40006990,307950,297997,100014938,1206776,40133316,40122497,40019063

196984,100176689,295814,40096636,265416,1205037,263931,40160408,189326,40074070,40112232,100067470

30003364,30003364,40139089,40002021,307150,40126021,40194146,100586900,1203892,263996,40130538,266660,100586904,40172500,40111814,40057727

1202455,40076758,1207175,40096630,263974,40122499,20004163,40184954,1208316,40101678,40172987,40057726,40013489,40172501,40111422,40130541,40158272,100586896,40132970,303410

40137729,1207382,40158271,262973,100007080,40112233,20004802,40135731,1203060,40112234,1205000,1207353

263923,40019015,1208249,40170882,40171804,1206326,266901,1205012,40093567,40181912,40090033,40002035

40112235,1207383,40023669,40118806,40011562,40131428,40181916,40122498,40122498,40162525,40162526,40093573

306171,40111424,1209350,1209350,266893,40163054,40093571,40087452,40069154,40170881,40111809,40090024

40168179,413324,413329,413320,100609699,40165454,1208323,40170880,40163947,40124442,40177712,40131429

40163055,40096642,266796,40073977,40180623,40124242,40025726,266896,40176376,40163948,30002437,40002041

40119471,40077765,40011025,40180624,1209351,40077766,306173,40176746,286713,40170885,40174317,40124752

40022368,40083395,40168185,40168178,40178091,316247,40168177,40179979,40166366,40183646,40109760,30011544

30011508,30011555,30011547,40099272,30011551,40003328,40003336,40003338,40003338,40003327,30011505,30011535

30011540,30011542,413330,413317,40022367,30011541,1208114,1202463,40034580,40118800,285406,210060

261322,286741,40076275,264003,1200260,40112231,40083891,274795,270179,40057731,1204449,263784

40106415,306143,306161,100014844,255215,263918,262974,40128849,1203424,40157250,1207381,30002398

40149656,20004209,40192078,40132968,40139088,40130537,40149655,100176689,40178584,40011682,40165025,1205054

1203521,40106443,1205727,40123015,40193835,30002419,20004803,40106442,40170887,40119074,40093247,40180622

271139,266886,266801,40007351,40181911,40181910,40181913,266700,40170888,1208331,40181917,40181914

40002114,40002114,266898,1208329,40170890,40128416,271581,271581,271581,40177717,40119470,40174321

40012630,205660,264733,40167876,40090027,40168184,20004808,40001671,40022555,40004931,40004931,40174317

40168189,40012634,294041,287824,40111817,40111817,40183644,40183647,40183650,30011539,40138411

