226491,266575,240065,137936,100401162,40020215,161899,174367,186070,274035,100401160,265722

40018072,40019371,288068,274920,119387,40140427,146775,1209455,262799,136297,265686,258324

40032980,231187,20005379,264445,197348,175118,40052451,253502,1205611,40032982,20005895,40086191

40088412,264437,30009570,40024622,206980,267229,267229,30009568,266531,265710,40137720,40032983

40026295,40104245,229936,1200123,1209507,265893,40001001,274037,229922,119380,204569,229790

266596,281594,277866,229910,229943,30001744,40137719,276214,1206977,229912,267381,30007714

162275,154171,40092352,100005699,40092353,40121581,251012,267426,119381,229930,265729,288927

265879,266572,265701,229785,40128173,40130624,1206504,40128171,265874,100126200,40128177

40128176,100076751,292395,40032981,40113908,100076754,263373,40128174,40128170,295519,40128169,258392

40019290,40179948,40169419,40128172,40024620,40128175,40110379,40110385,249671,292620,266579,40086192
