1207190,40173113,263839,307195,228623,100006809,215595,40130609,1208843,1204983,1208977,266969

1207311,40151783,1200385,1208975,1200270,1200198,230745,40002071,212128,1200379,1205171,1200285

40097083,1208976,1208114,1208114,1208851,1200289,1202436,1202437,1200284,1205172,1203895,267011

254193,1205173,40130356,1205984,1200282,1202438,101725,1202439,1207343,40162407,1203740,1200290

266951,1200281,40173110,299474,1205983,100083985,1200352,1200351,40007017,200327,1202611,1203662

1205174,1206846,274775,1200379,1207194,40173111,269397,1207344,100014975,40132300,1208844,263760

294222,40130359,40132303,40173114,100312960,40097084,40130608,1202463,1203791,1206848,1203747

1202440,1202442,40132309,40173115,1203745,1208357,40130349,40016330,317229,254679,100017599,100286988

1202032,40100733,1200368,1203661,40130355,1202441,40132301,40008477,101165,1208166,285250,40164596

263939,40111629,1200204,40132312,40130363,2000047,40031945,30010728,267639,40106414,40000665,40006995

40125581,294619,299469,40173106,1201636,40052419,40007163,1206536,1201639,1208848,40052976,281366

274068,40130352,100006283,1201637,40132310,40132307,40005995,40156673,1200287,101584,40024936,268761

40134836,266959,40125579,40050945,40174606,40002940,1207241,1207244,40006007,1208846,266960,269398

1206523,40132304,40119236,40007019,294223,267014,40130353,40017750,1202303,40031951,30002440,1201638

267540,1202455,1208167,40006965,267629,280076,40130350,40002936,40096522,40000640,1200274,40080797

40126957,40177925,40107518,40129074,40106687,40132305,267012,1207243,40119520,40132311,40010001,40184752

40130636,40000302,40024977,267642,267642,264720,40000654,40006967,40128430,40063181,100061242,40104281

40094627,40132315,30010721,40096517,269256,40096482,40063489,40008393,40063180,30009474,40083354,307288

1207245,40170289,40057048,40184753,40024995,40083367,281496,40126956,1207239,40142567,40142566,40135748

40126973,40001337,40193397,40193396,40134835,20001185,40126958,40173119,40162520,40142565,40126972,40184754

40173121,40181029,40142570,40173117,40132314,40134816,40134833,40134822,40134827,40181033,40134821,40181030

40134802,40134811,40134834,40134824,40134818,40134819,40134810,40134795,40178805,40134796,40134823,40178797

40134817,40134793,40134812,40134829,40134801,40178804,40181034,40134803,40178803,40134800,40134807,40178802

40186465,40178796,40178799,40178806,40134813,40134794,40178798,40134798,40178801,40134825,245525,40076994

40005082,40027412,40130354,100019566,264972,40017905,180529,40003187,40183134,30008750,40000307,40173118
